Caso,Exec 1,Exec 2,Exec 3,Média,Mpps,DP Média,DP Mpps,Mpps /1000,DP/1000,% Anterior,% Total,Descrição
Caso 1,22.537.000,22.535.000,22.538.000,22.537.000,2.253.700,"1527,53","152,75",2.254,"0,15",,,Somente encaminhamento de pacotes com header ipv4
Caso 2,21.986.000,21.986.000,21.986.000,21.986.000,2.198.600,"0,00","0,00",2.199,"0,00","2,44%","2,44%",add header udp s/ uso
Caso 3,21.724.000,21.724.000,21.722.000,21.724.000,2.172.400,"1154,70","115,47",2.172,"0,12","1,19%","3,61%",add header apf s/ uso
Caso 4,21.106.000,21.110.000,21.108.000,21.108.000,2.110.800,"2000,00","200,00",2.111,"0,20","2,84%","6,34%",add metadata time s/ uso
Caso 5,17.905.000,17.905.000,17.903.000,17.905.000,1.790.500,"1154,70","115,47",1.791,"0,12","15,17%","20,55%",add uso do header apf c/ setInvalid
Caso 6,13.244.000,13.242.000,13.239.000,13.242.000,1.324.200,"2516,61","251,66",1.324,"0,25","26,04%","41,24%",add calculo e armazenamento nos registradores
Caso 7,12.384.000,12.384.000,12.384.000,12.384.000,1.238.400,"0,00","0,00",1.238,"0,00","6,48%","45,05%",add microC que soma metricas s/ mutex
Caso 8,12.232.000,12.236.000,12.234.000,12.234.000,1.223.400,"2000,00","200,00",1.223,"0,20","1,21%","45,72%",add contador de pacotes com mutex
Caso 9,11.010.000,11.014.000,11.016.000,11.014.000,1.101.400,"3055,05","305,51",1.101,"0,31","9,97%","51,13%",add incluído mutex a cada 5 pacotes (%5==0)
Caso 10,11.012.000,11.016.000,11.019.000,11.016.000,1.101.600,"3511,88","351,19",1.102,"0,35","-0,02%","51,12%",add mutex a cada 100 pacotes (%100== 0)
Caso 11,12.095.000,12.098.000,12.095.000,12.095.000,1.209.500,"1732,05","173,21",1.210,"0,17","-9,79%","46,33%",Sem. local para contar pacotes
Caso 12,10.046.000,10.048.000,10.052.000,10.048.000,1.004.800,"3055,05","305,51",1.005,"0,31","16,92%","55,42%",Sem. local a cada 5 pacotes (%5==0)
Caso 13,10.048.000,10.054.000,10.058.000,10.054.000,1.005.400,"5033,22","503,32",1.005,"0,50","-0,06%","55,39%",Sem. local a cada 100 pacotes (%100==0)
Caso 14,12.081.000,12.083.000,12.081.000,12.081.000,1.208.100,"1154,70","115,47",1.208,"0,12","-20,16%","46,39%",Sem. global para contar pacotes
Caso 15,9.870.000,9.876.000,9.880.000,9.876.000,987.600,"5033,22","503,32",988,"0,50","18,25%","56,18%",Sem. global a cada 5 pacotes (%5==0)
Caso 16,9.874.000,9.888.000,9.888.000,9.888.000,988.800,"8082,90","808,29",989,"0,81","-0,12%","56,13%",Semaforo local cada 100 pacotes (%100 == 0)
